iter	Passed	Remaining
0	60	21222
1	67	11766
2	73	8537
3	79	6905
4	86	5968
5	92	5303
6	99	4871
7	105	4506
8	111	4226
9	118	4019
10	124	3829
11	130	3670
12	136	3542
13	142	3423
14	149	3333
15	155	3242
16	161	3165
17	168	3105
18	174	3043
19	181	2990
20	187	2934
21	193	2888
22	200	2849
23	206	2809
24	212	2767
25	219	2730
26	225	2691
27	231	2665
28	237	2632
29	243	2602
30	250	2579
31	256	2550
32	263	2529
33	269	2504
34	275	2479
35	282	2463
36	288	2439
37	294	2417
38	300	2397
39	306	2376
40	313	2359
41	319	2344
42	325	2325
43	332	2310
44	338	2293
45	345	2280
46	351	2263
47	357	2247
48	363	2235
49	369	2219
50	376	2206
51	382	2192
52	388	2177
53	395	2166
54	401	2152
55	407	2138
56	413	2127
57	420	2115
58	426	2104
59	432	2091
60	439	2080
61	445	2070
62	451	2058
63	457	2045
64	463	2034
65	471	2028
66	478	2020
67	484	2008
68	490	1996
69	496	1985
70	502	1974
71	509	1965
72	515	1954
73	521	1943
74	528	1937
75	534	1926
76	541	1918
77	547	1909
78	553	1898
79	559	1889
80	565	1879
81	571	1869
82	578	1860
83	584	1850
84	590	1842
85	597	1832
86	603	1823
87	609	1815
88	615	1805
89	622	1797
90	628	1787
91	634	1779
92	640	1770
93	647	1762
94	652	1752
95	659	1744
96	665	1735
97	672	1728
98	678	1719
99	684	1710
100	690	1703
101	697	1695
102	703	1686
103	709	1679
104	716	1670
105	722	1663
106	728	1655
107	735	1648
108	748	1654
109	756	1649
110	763	1642
111	774	1646
112	781	1638
113	788	1633
114	796	1627
115	804	1622
116	810	1614
117	816	1605
118	824	1599
119	831	1592
120	837	1585
121	844	1577
122	850	1568
123	857	1562
124	863	1553
125	870	1547
126	876	1539
127	882	1530
128	889	1524
129	895	1516
130	902	1509
131	909	1501
132	915	1493
133	922	1486
134	928	1479
135	935	1471
136	942	1464
137	948	1456
138	955	1450
139	963	1444
140	972	1441
141	980	1436
142	988	1431
143	996	1425
144	1003	1418
145	1009	1410
146	1016	1404
147	1023	1396
148	1029	1389
149	1036	1382
150	1044	1376
151	1052	1370
152	1059	1364
153	1067	1358
154	1075	1353
155	1082	1346
156	1089	1339
157	1096	1332
158	1103	1325
159	1110	1318
160	1121	1316
161	1142	1326
162	1156	1326
163	1167	1324
164	1175	1317
165	1182	1310
166	1188	1302
167	1194	1293
168	1201	1286
169	1207	1278
170	1214	1270
171	1220	1262
172	1226	1254
173	1233	1247
174	1239	1239
175	1246	1232
176	1252	1224
177	1259	1216
178	1266	1209
179	1272	1201
180	1278	1193
181	1284	1185
182	1290	1177
183	1297	1170
184	1303	1162
185	1309	1154
186	1316	1147
187	1322	1139
188	1328	1131
189	1334	1124
190	1340	1116
191	1347	1108
192	1353	1100
193	1359	1093
194	1366	1085
195	1373	1078
196	1379	1071
197	1385	1063
198	1392	1056
199	1398	1049
200	1404	1041
201	1410	1033
202	1416	1026
203	1423	1018
204	1429	1011
205	1435	1003
206	1442	996
207	1448	988
208	1455	981
209	1461	974
210	1467	966
211	1474	959
212	1480	952
213	1486	944
214	1492	937
215	1498	929
216	1505	922
217	1511	914
218	1517	907
219	1523	900
220	1529	893
221	1536	885
222	1542	878
223	1548	870
224	1554	863
225	1560	856
226	1566	848
227	1572	841
228	1579	834
229	1585	827
230	1591	819
231	1597	812
232	1604	805
233	1610	798
234	1616	790
235	1622	783
236	1628	776
237	1635	769
238	1641	762
239	1647	755
240	1654	748
241	1659	740
242	1666	733
243	1672	726
244	1678	719
245	1684	712
246	1690	705
247	1696	697
248	1703	690
249	1709	683
250	1715	676
251	1721	669
252	1727	662
253	1734	655
254	1740	648
255	1746	641
256	1753	634
257	1759	627
258	1765	620
259	1771	613
260	1777	606
261	1784	599
262	1790	592
263	1797	585
264	1803	578
265	1809	571
266	1815	564
267	1821	557
268	1827	550
269	1834	543
270	1840	536
271	1847	529
272	1853	522
273	1858	515
274	1865	508
275	1871	501
276	1877	494
277	1883	487
278	1889	480
279	1896	474
280	1902	467
281	1908	460
282	1915	453
283	1921	446
284	1928	439
285	1934	432
286	1940	426
287	1947	419
288	1953	412
289	1959	405
290	1966	398
291	1972	391
292	1978	384
293	1984	378
294	1990	371
295	1998	364
296	2004	357
297	2010	350
298	2016	343
299	2022	337
300	2028	330
301	2034	323
302	2040	316
303	2047	309
304	2053	302
305	2059	296
306	2065	289
307	2071	282
308	2077	275
309	2083	268
310	2089	262
311	2096	255
312	2102	248
313	2108	241
314	2114	234
315	2120	228
316	2127	221
317	2133	214
318	2139	207
319	2146	201
320	2152	194
321	2159	187
322	2165	180
323	2171	174
324	2177	167
325	2184	160
326	2190	154
327	2196	147
328	2202	140
329	2209	133
330	2215	127
331	2221	120
332	2227	113
333	2233	107
334	2240	100
335	2246	93
336	2253	86
337	2259	80
338	2265	73
339	2271	66
340	2278	60
341	2284	53
342	2291	46
343	2297	40
344	2303	33
345	2310	26
346	2316	20
347	2322	13
348	2328	6
349	2334	0
