timestamp,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2026-02-23 19:45:00,64194.0,64347.8,64082.3,64273.9,2200.445,1771876799999,141323757.60630,71251,1309.682,84119382.17010,0
2026-02-23 20:00:00,64273.9,64363.1,63874.5,63938.4,3311.794,1771877699999,212237021.62010,81092,1301.581,83464840.79160,0
2026-02-23 20:15:00,63938.4,64168.0,63860.0,63977.4,2890.616,1771878599999,185043005.22650,78723,1544.475,98877207.44130,0
2026-02-23 20:30:00,63977.4,64297.5,63966.2,64246.7,1906.39,1771879499999,122348182.88330,55892,1019.425,65414727.88460,0
2026-02-23 20:45:00,64246.8,64460.0,64208.4,64445.9,1898.61,1771880399999,122158427.04590,58070,1142.742,73526588.83210,0
2026-02-23 21:00:00,64445.9,64675.2,64427.5,64574.5,2682.681,1771881299999,173191363.62710,58332,1413.526,91248670.56350,0
2026-02-23 21:15:00,64574.5,64617.3,64483.3,64528.9,676.62,1771882199999,43675333.55020,26130,293.013,18914710.19220,0
2026-02-23 21:30:00,64529.0,64758.0,64500.0,64620.1,1104.085,1771883099999,71341993.56710,31429,675.925,43675475.69920,0
2026-02-23 21:45:00,64620.1,64698.4,64532.9,64554.6,645.639,1771883999999,41719274.94360,19978,277.441,17928497.95190,0
2026-02-23 22:00:00,64554.6,64963.3,64526.9,64929.1,2532.86,1771884899999,164182835.77090,62293,1444.317,93614306.80800,0
2026-02-23 22:15:00,64929.1,64989.0,64807.6,64904.9,1048.136,1771885799999,68037362.12880,27486,492.551,31973583.66020,0
2026-02-23 22:30:00,64904.9,64904.9,64713.8,64766.4,870.346,1771886699999,56406567.78940,21034,306.389,19856852.62760,0
2026-02-23 22:45:00,64766.5,64853.1,64604.9,64694.3,663.811,1771887599999,42977252.10870,25394,312.882,20259702.72630,0
2026-02-23 23:00:00,64694.4,64869.4,64667.4,64827.2,1542.959,1771888499999,99910910.32010,30574,998.789,64657567.81760,0
2026-02-23 23:15:00,64827.2,64873.6,64747.3,64806.5,538.52,1771889399999,34896589.35450,16221,229.681,14884534.01670,0
2026-02-23 23:30:00,64806.5,64850.0,64566.2,64592.0,944.993,1771890299999,61128517.24960,23973,373.416,24160062.55230,0
2026-02-23 23:45:00,64592.0,64659.7,64484.2,64625.8,1468.823,1771891199999,94865682.70370,31187,881.502,56941957.16910,0
2026-02-24 00:00:00,64625.8,64869.4,64625.7,64861.4,1358.84,1771892099999,87971638.87390,36863,842.725,54556419.01020,0
2026-02-24 00:15:00,64861.4,64980.0,64765.2,64834.0,1222.699,1771892999999,79332638.37280,31512,584.792,37946433.90590,0
2026-02-24 00:30:00,64834.0,64960.0,64794.1,64888.2,909.582,1771893899999,59009984.95340,26629,477.825,30997401.66430,0
2026-02-24 00:45:00,64888.0,64979.6,64843.1,64910.2,556.8,1771894799999,36147571.59720,20644,281.984,18307835.26300,0
2026-02-24 01:00:00,64910.2,64910.2,64204.2,64302.8,3248.395,1771895699999,209511668.03810,74858,1170.090,75444791.73590,0
2026-02-24 01:15:00,64302.8,64515.2,63375.6,64409.2,13739.892,1771896599999,877624144.04140,283425,6476.329,413873787.75240,0
2026-02-24 01:30:00,64409.2,64597.1,64039.1,64309.8,3668.777,1771897499999,236023258.49700,108308,1691.693,108835863.87290,0
2026-02-24 01:45:00,64309.7,64387.9,64034.5,64131.0,1817.314,1771898399999,116650059.13440,66610,828.216,53165749.43920,0
2026-02-24 02:00:00,64131.0,64297.2,63962.2,64214.1,2104.982,1771899299999,134946368.35030,75814,940.957,60335441.38560,0
